Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,DOI,Is Open Access
091-899-257-616-206,"Effects of Two Chlorine Gas Attacks on Hospital Admission and Clinical Outcomes in Kafr Zita, Syria",2021,journal article,Cureus,"Cureus, Inc.",United States,Abdallah Mohamed Elsafti Elsaeidy; Osama I Alsaleh; Gerlant van Berlaer; Abdulrahman A Alhallak; Saad Souhil Saeed; Ashraf T Soliman; Ives Hubloue,"Background In 2014, Hama Governorate was exposed twice to chlorine gas, with 15 patients presenting to Kafr Zita Hospital in Northwest Syria. This study aimed to describe clinical manifestations of chlorine gas exposure to identify factors leading to facility admission and the need for ICU/intubation in conflict-affected areas with limited healthcare infrastructure. Methods We conducted a case-series study, using medical records of suspected chlorine-exposed patients presenting at Kafr Zita Hospital on either 11 April or 22 May 2014. Data on age, sex, initial clinical presentation, therapeutic management, and outcome were compared by hospital admission/non-admission and attack date. All patients provided verbal informed consent. Results Fifteen patients with signs of chlorine gas exposure had detailed medical records. The mean age was 25.7 years (range 2-59), eight were male (53%), and three (20%) were under age 16. At initial presentation, all experienced respiratory distress, due to severe airway inflammation confirmed by nonspecific pulmonary infiltrates on chest x-ray, and similar intestinal, neurological, dermatological, ophthalmological, and psychological signs and symptoms. Acute management consisted of oxygen and bronchodilators for all patients, hydrocortisone (93%), antiemetics (80%), and dexamethasone (13%). Seven (47%) made a rapid symptomatic recovery and were discharged the same day and eight (53%) were admitted for a median of two days (range 1-6 days), one of whom required intubation and later died. The only significant associations found were higher mean pulse rate (i.e. 138 versus 124; p=0.043) and body temperature (37.0 versus 36.5; p=0.019) among admitted patients compared to non-admitted. Conclusion Our results demonstrated that even in low-resource humanitarian settings the survival rate for chlorine gas exposed patients is fair. Despite the small sample, this study provides insight into the clinical presentation, management, and outcomes of weaponized chlorine gas exposure, though further research is required to understand any chronic consequences.",Respiratory distress; Pediatrics; Medical record; Survival rate; Intubation; Dexamethasone; Chlorine gas; Hospital admission; Informed consent; Medicine,chemical attack; chlorine gas; environmental toxicology; health in conflict; syria,,10.7759/cureus.17522,true
092-221-859-952-933,Washington Hotline,2019,journal article,College & Research Libraries News,American Library Association,United States,Gavin Baker,"<jats:p>Libraries can ensure everyone counts in 2020 CensusThe upcoming 2020 Census will have repercussions for communities across the country. Academic libraries can play important roles in promoting a fair and accurate count.Census data is key to the allocation of billions of dollars in federal funding to states and localities, such as education and healthcare programs. The decennial count of all residents is required by the U.S. Constitution to determine representation in Congress and the Electoral College, and is the basis for drawing districts for federal, state, and local offices. In addition, data resulting from the census is widely used by the public and private sectors for research and planning, including many social scientists.</jats:p>",Census; Hotline; Constitution; American Community Survey; Representation (politics); Public administration; State (computer science); Political science; Geography; Economic growth; Public relations; Population; Sociology; Computer science; Telecommunications; Politics; Law; Economics; Demography; Algorithm,,,10.5860/crln.80.2.116,true
092-506-254-870-846,Access and Utilization of Asthma Medications Among Patients Who Receive Care in Federally Qualified Health Centers.,2022,journal article,Journal of primary care & community health,SAGE Publications,United States,Asma M Ali; Anne H Gaglioti; Rebecca H Stone; Natalie D Crawford; Kevin K Dobbin; Lokesh Guglani; Henry N Young,"<AbstractText Label=""OBJECTIVES"">To describe access to and use of prescription asthma medications, and to assess factors associated with asthma exacerbation, healthcare utilization, and health status among asthma patients treated at Federally Qualified Health Centers.</AbstractText>;           <AbstractText Label=""METHODS"">This is a retrospective cross-sectional study. We analyzed data from the 2014 National Health Center Patient Survey. This data is publicly available from the Health Resources and Services Administration. Data was collected from patients receiving face-to-face care from health centers funded under Section 330 of the Public Health Service Act. Data from patients was collected between October 8, 2014, and April 17, 2015. We included adult participants who reported having a diagnosis of asthma and confirmed that they still have asthma. Association between explanatory variables (access to prescription medications and use of asthma controller medications) and outcome variables (asthma exacerbations, asthma hospitalizations or emergency department visits, and self-rated health) was assessed using multivariable regression analyses while adjusting for demographics.</AbstractText>;           <AbstractText Label=""RESULTS"">A total of 919 participants with asthma were included. Approximately 32% of the participants experienced delays in getting prescription medications, 26% were unable to get them, 60% experienced an asthma exacerbation last year, 48% rated their health as fair/poor, and 19% visited a hospital or an emergency department last year. Multivariable results showed that participants who were currently taking controller medications were more likely to have experienced an asthma exacerbation (OR = 4.02; 95% CI 1.91 to 8.45; <i>P</i> &lt; .01), or visited a hospital or an emergency department (OR = 3.07; 95% CI 1.39 to 6.73; <i>P</i> &lt; .01) in the last year compared with those who had never taken controller medications. Experiencing difficulties in accessing asthma medications was associated with lower self-rated health (<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>β</mml:mi></mml:mrow></mml:math> = -.51; 95% CI -0.94 to -0.08; <i>P</i> = .02).</AbstractText>;           <AbstractText Label=""CONCLUSIONS"">Future interventions should seek to improve asthma patient care and health outcomes using innovative strategies that act at multiple levels of the healthcare system (eg, individual, interpersonal, community levels).</AbstractText>",Medicine; Asthma; Medical prescription; Emergency department; Exacerbation; Family medicine; Health care; Public health; Asthma exacerbations; Emergency medicine; Internal medicine; Nursing; Economics; Economic growth,Federally Qualified Health Center (FQHC); access; asthma; health services; prescription medications; underserved,"Adult; Asthma/drug therapy; Cross-Sectional Studies; Emergency Service, Hospital; Humans; Patient Acceptance of Health Care; Prescription Drugs; Retrospective Studies",10.1177/21501319221101202,true
092-691-402-674-984,Precision Medicine: Using Artificial Intelligence to Improve Diagnostics and Healthcare.,2022,journal article,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,,United States,Roxana Daneshjou; Steven E Brenner; Jonathan H Chen; Dana C Crawford; Samuel G Finlayson; Łukasz Kidziński; Martha L Bulyk,"The continued generation of large amounts of data within healthcare-from imaging to electronic medical health records to genomics and multi-omics -necessitates tools and methods to parse and interpret these data to improve healthcare outcomes. Artificial intelligence, and in particular deep learning, has enabled researchers to gain new insights from large scale and multimodal data. At the 2022 Pacific Symposium on Biocomputing (PSB) session entitled ""Precision Medicine: Using Artificial Intelligence to Improve Diagnostics and Healthcare"", we showcase the latest research, influenced and inspired by the idea of using technology to build a more fair, tailored, and cost-effective healthcare system after the COVID-19 pandemic.",Health care; Precision medicine; Data science; Artificial intelligence; Computer science; Applications of artificial intelligence; Big data; Deep learning; Scale (ratio); Medicine; Data mining; Physics; Pathology; Quantum mechanics; Economics; Economic growth,,Artificial Intelligence; COVID-19; Computational Biology; Delivery of Health Care; Humans; Pandemics; Precision Medicine; SARS-CoV-2,,false
092-708-104-598-010,Targeted subsidy plan and Kakwani index in Iran health system,2019,journal article,Journal of education and health promotion,,India,Jafar Yahyavi Dizaj; Zohreh Anbari; Ali Kazemi Karyani; Yousef Mohammadzade,"INTRODUCTION; ; Health care is considered as a human right, and fair financial contribution to health care plays an important role in providing effective services for all members of society. This study aimed at investigating the effects of targeted subsidy plan (since 2010) on equality in health-care financing in Iran from 2004 to 2014.; ; MATERIALS AND METHODS; ; This was a descriptive-analysis, cross-sectional study that was conducted using data obtained from households' expenditure-income survey that is performed every year by the Statistical Center of Iran. The Lorenz curve, Gini coefficient, and Theil index were applied to measure inequality in healthcare expenditures (HEs). Furthermore, the Kakwani index was used to examine inequality in health-care finance during the study period. The analysis was performed using Stata version 13.; ; RESULTS; ; Kakwani index was negative for all the studied years, except 2007. The value of this index was equal to -0.032, -0.045, and -0.046 in 2004, 2008, and 2014 for rural areas and was equal to -0.041, -0.029, and -0.0001 for urban areas, respectively. Despite the Kakwani index has been negative for most of the years, which reflects regressive financing in health care, there is no significant change in the trend of this indicator after the implementation of the subsidies. In addition, this indicator is moving toward being positive (progressive) in urban areas in 2014, which represents increased share of the poor in health payments.; ; CONCLUSIONS; ; According to the results, the targeted subsidy plan could not reach to its purpose in health-care system for supporting the poor from HEs. It is recommended for policy-makers to design a specific plan for health-care financing and to allocate some defined resources such as taxes or subsidies to health-care sector.",Public economics; Rural area; Theil index; Health care; Economics; Gini coefficient; Index (economics); Inequality; Subsidy; Lorenz curve,Equality; health-care costs; net household expenditures; targeted subsidies law,,10.4103/jehp.jehp_16_19,true
093-220-425-807-861,Patient prioritization tools and their effectiveness in non-emergency healthcare services: a systematic review protocol,2019,journal article,Systematic reviews,Springer Science and Business Media LLC,United Kingdom,Julien Déry; Angel Ruiz; François Routhier; Marie-Pierre Gagnon; André Côté; Daoud Ait-Kadi; Valérie Bélanger; Simon Deslauriers; Marie-Eve Lamontagne,"Waiting lists should be managed as fairly as possible to ensure that patients with greater or more urgent needs receive services first. Patient prioritization refers to the process of ranking referrals in a certain order based on various criteria with the aim of improving fairness and equity in the delivery of care. Despite the widespread use of patient prioritization tools (PPTs) in healthcare services, the existing literature on this subject has mainly focused on emergency settings. Evidence has not been synthesized with respect to all the non-emergency services. This review aims to perform a systematic synthesis of published evidence concerning (1) prioritization tools’ characteristics, (2) their metrological properties, and (3) their effect measures across non-emergency services. Five electronic databases will be searched (Cochrane Library, Ovid/MEDLINE, Embase, Web of Science, and CINAHL). Eligibility criteria guiding data selection will be (1) qualitative, quantitative, or mixed methods empirical studies; (2) patient prioritization in any non-emergency setting; and (3) discussing characteristic, metrological properties, or effect measures. Data will be sought to report tool’s format, description, population, setting, purpose, criteria, developer, metrological properties, and outcome measures. Two reviewers will independently screen, select, and extract data. Data will be synthesized with sequential exploratory design method. We will use the Mixed Methods Appraisal Tool (MMAT) to assess the quality of articles included in the review. This systematic review will provide much-needed knowledge regarding patient prioritization tools. The results will benefit clinicians, decision-makers, and researchers by giving them a better understanding of the methods used to prioritize patients in clinical settings. PROSPERO CRD42018107205",Empirical research; Health care; Cochrane Library; MEDLINE; Protocol (science); CINAHL; Population; Medical emergency; Medicine; Exploratory research,Healthcare services; Outcomes; Patient prioritization; Systematic review; Waiting lists,Decision Support Techniques; Delivery of Health Care/methods; Health Priorities/organization & administration; Humans; Triage,10.1186/s13643-019-0992-x,true
093-518-425-412-079,Psychological distress among Chinese patients with breast cancer undergoing chemotherapy: Concordance between patient and family caregiver reports.,2021,journal article,Journal of advanced nursing,Wiley,United Kingdom,Huihui Zhao; Xiaojin Li; Chunlan Zhou; Yanni Wu; Wenji Li; Liling Chen,"Aims To examine patient-caregiver concordances about psychological distress among Chinese patients with breast cancer undergoing chemotherapy and identify factors related to concordance among patients and family caregivers. Design Cross-sectional study. Methods From October 2019 to June 2020, 137 patient-caregiver dyads were enrolled. Sociodemographic information, the distress thermometer (including the problem list), the Distress Disclosure Index and the Family Adaptability and Cohesion Evaluation Scale were used to collect data. Data were analysed using intraclass correlation coefficients (ICC), kappa statistics, two related samples test, chi-square tests and/or Fisher's exact tests and binary logistic regression. Results Overall, fair agreement was identified between patients' and caregivers' reports (intraclass correlation coefficients [ICC] = .528). Patients reported significantly higher psychological distress scores than paired caregiver reports. Lower psychological distress concordance was found among patients with comorbidities (odds ratio [OR], 0.352; 95% confidence interval [CI], 0.155-0.798) and lower levels of self-disclosure (OR, 0.402; 95% CI, 0.186-0.868). Conclusion There was relatively low concordance between patients' reports and caregivers' perceptions of psychological distress. Family caregivers tended to underestimate patients' psychological distress. A comorbid condition and lower levels of self-disclosure contributed to this bias. Impact Having an awareness of the incongruence between patient and caregiver may help healthcare providers better interpret caregiver assessments. Healthcare providers should reinforce patient-caregiver dyadic psychosocial education to improve concordance. More psychological care and substantial emotional support should be provided for Chinese breast cancer patients undergoing chemotherapy by family caregivers and healthcare providers.",Intraclass correlation; Distress; Psychosocial; Odds ratio; Concordance; Family caregivers; Problem list; Breast cancer; Clinical psychology; Medicine,breast cancer; chemotherapy; concordance; influencing factors; nursing; patient-caregiver dyad; psychological distress; social support,"Breast Neoplasms/drug therapy; Caregivers; China; Cross-Sectional Studies; Female; Humans; Neoplasms; Psychological Distress; Quality of Life; Stress, Psychological",10.1111/jan.15004,false
093-771-236-964-180,A survey of the knowledge and practices of nursing students of Mbarara University of Science and Technology around Monitoring Fluid Requirements for burns patients on surgical ward at Mbarara Regional Referral Hospital.,2022,journal article,BMC nursing,Springer Science and Business Media LLC,United Kingdom,Joan Atuhaire; Jonathan Kajjimu; Javilla Kakooza Kamya; Grifance Opio; Frank Lubega; Reagan Kakande; William Mwanje; Andrew Tagg,"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">There is a high mortality of burns especially in low- and middle-income countries which already have less developed healthcare systems. Besides, little is known about nursing students' knowledge and practices towards the need to monitor fluid requirements in admitted burns patients.</AbstractText>;           <AbstractText Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"">To assess the knowledge and practices of nursing students regarding monitoring fluid requirements for hospitalised paediatrics and adult burn patients on the surgical ward at Mbarara regional referral hospital.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">We conducted an online descriptive cross-sectional study among clinical nursing students at Mbarara University of Science and Technology (MUST) during September and November 2021. We assessed knowledge and practices using an adapted questionnaire. Summary statistics were then used to describe the data.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Thirty-seven nursing students (64.9% response rate) participated in our survey. Twenty one (56.8%) were female and had a modal age range of 20-24 years. Nineteen (51.4%) of the students were BNC (Bachelor of Nursing Completion) students, with the rest being BNS (Bachelor of Nursing). More than 75% of students correctly answered each of two out of the ten questions. More than three quarters of the students reported having done each of six out of the eleven practices surveyed.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Nursing students had poor knowledge and fair satisfactory practices regarding monitoring of the fluid requirements in burns patients. More similar studies are needed to survey more nursing students on this topic and to henceforth evaluate the need for periodic re-trainings and reassessment of clinical skills of nursing students.</AbstractText>;           <CopyrightInformation>© 2022. The Author(s).</CopyrightInformation>",Medicine; Bachelor; Referral; Nursing; Nursing research; Descriptive statistics; Nursing management; Nurse education; Family medicine; Statistics; Mathematics; Archaeology; History,Burns; Fluid balance; Fluid monitoring; Nursing students; Uganda,,10.1186/s12912-022-01041-7,true
093-772-799-413-870,Health System Performance Assessment: how equitable is the Belgian health system?,2022,journal article,European Journal of Public Health,Oxford University Press (OUP),United Kingdom,M Van de Voorde; N Bouckaert,"<jats:title>Abstract</jats:title>;                <jats:p>Access to and delivery of effective, high quality and affordable healthcare are fundamental objectives that have shaped health policy and the universal health insurance system in Belgium. A health system should be evaluated against these objectives. Monitoring equity within a health system - an equitable distribution of healthcare use and of payments for healthcare - is a core component of a health system performance assessment. We use the horizontal equity principle to evaluate equity in healthcare use in Belgium. Unfair inequality in healthcare use is measured by the fairness gap, comparing actual use and expected use corrected for needs. The empirical analysis was conducted using a linked dataset which contains data from the European Union Statistics on Income and Living Conditions (EU-SILC) and administrative data. Two sets of results are reported for a selected set of indicators of use: the deviation between the average fairness gap in the population and the average fairness gap in a subgroup of interest and an assessment of systematic socioeconomic inequity in the fairness gap using the absolute concentration index. We show that important socioeconomic inequities in healthcare use exist. Inequities differ by type of care, e.g., the use of hospital care and medications is more equitable than the use of GP, outpatient specialist and dental care. When accounting for healthcare needs, we find that use among high-income groups and individuals with a high educational attainment is higher compared to financially vulnerable groups (individuals at risk of poverty or with severe material deprivation, unemployed, singles). Also, individuals who are entitled to an increased reimbursement of healthcare costs, show a lower use of outpatient specialist care than expected based on their care needs. On the other hand, increased reimbursement is effective in improving accessibility to GP care, while for other financially vulnerable individuals we find a lower use of GP care.</jats:p>",Health care; Equity (law); Health equity; Poverty; Business; Socioeconomic status; Public economics; European union; Population; Actuarial science; Environmental health; Medicine; Economic growth; Economics; Political science; Law; Economic policy,,,10.1093/eurpub/ckac129.244,true
094-296-795-858-110,Comparing mental and physical health of U.S. veterans by VA healthcare use: implications for generalizability of research in the VA electronic health records.,2022,journal article,BMC health services research,Springer Science and Business Media LLC,United Kingdom,David S Fink; Malka Stohl; Zachary L Mannes; Dvora Shmulewitz; Melanie Wall; Sarah Gutkind; Mark Olfson; Jaimie Gradus; Salomeh Keyhani; Charles Maynard; Katherine M Keyes; Scott Sherman; Silvia Martins; Andrew J Saxon; Deborah S Hasin,"<AbstractText Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"">The Department of Veterans Affairs' (VA) electronic health records (EHR) offer a rich source of big data to study medical and health care questions, but patient eligibility and preferences may limit generalizability of findings. We therefore examined the representativeness of VA veterans by comparing veterans using VA healthcare services to those who do not.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">We analyzed data on 3051 veteran participants age ≥ 18 years in the 2019 National Health Interview Survey. Weighted logistic regression was used to model participant characteristics, health conditions, pain, and self-reported health by past year VA healthcare use and generate predicted marginal prevalences, which were used to calculate Cohen's d of group differences in absolute risk by past-year VA healthcare use.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Among veterans, 30.4% had past-year VA healthcare use. Veterans with lower income and members of racial/ethnic minority groups were more likely to report past-year VA healthcare use. Health conditions overrepresented in past-year VA healthcare users included chronic medical conditions (80.6% vs. 69.4%, d = 0.36), pain (78.9% vs. 65.9%; d = 0.35), mental distress (11.6% vs. 5.9%; d = 0.47), anxiety (10.8% vs. 4.1%; d = 0.67), and fair/poor self-reported health (27.9% vs. 18.0%; d = 0.40).</AbstractText>;           <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">Heterogeneity in veteran sociodemographic and health characteristics was observed by past-year VA healthcare use. Researchers working with VA EHR data should consider how the patient selection process may relate to the exposures and outcomes under study. Statistical reweighting may be needed to generalize risk estimates from the VA EHR data to the overall veteran population.</AbstractText>;           <CopyrightInformation>© 2022. The Author(s).</CopyrightInformation>",Veterans Affairs; Medicine; Generalizability theory; Health care; Mental health; Health administration; Family medicine; Health informatics; Gerontology; Public health; Psychiatry; Nursing; Psychology; Developmental psychology; Internal medicine; Economics; Economic growth,Big data; Electronic health records; Generalizability; United States Department of Veterans Affairs; Veterans health,United States/epidemiology; Humans; Adolescent; United States Department of Veterans Affairs; Electronic Health Records; Ethnicity; Health Services Accessibility; Minority Groups; Veterans; Pain,10.1186/s12913-022-08899-y,true
094-573-203-013-521,"206 Quality improvement in communication, through parent's experience survey at neonatal intensive care unit",2022,conference proceedings article,Quality Improvement and Patient Safety,BMJ Publishing Group Ltd and Royal College of Paediatrics and Child Health,,Kanwal Malik; Babu Paturi,"<h3>Aims</h3> Communication between parents/carers and healthcare providers in a setting of neonatal intensive care unit is crucial to reduce their emotional stress, help in decision making, engaging them in active care, while building trust and confidence in the health care services provided. To implement a family centred care in neonatal units, the feedback from parents is essential to improve the quality of healthcare services provided. The study will determine the potential factors, that may improve communication between parents/carers and the healthcare service providers, during the stay of their new-born babies at the Neonatal intensive care unit. <h3>Methods</h3> <h3>Methodology</h3> A Parent’s experience survey Questionnaire was prepared to determine the objectives of the study. The questionnaire included various domains including ‘interaction with doctors and nurses’, ‘knowledge and information sharing’, ‘active care and pro breast-feeding strategies’, ‘empowered decision making’, ‘co-ordinated discharge planning’, and ‘trust and confidence in doctors and nurses. The relevant domains were answered as ‘YES or ‘NO’ with a further grading on a scale from 1 to 5, where 1 is poor, 2 is Fair, 3 is good, 4 is very good and 5 is excellent. The questionnaire included a separate section for comments to provide any additional information, deeming necessary to improve communication. The paper-based questionnaire was completed by the parents/carers at the time of discharge by themselves, or via a telephone call where the healthcare service provider read the questionnaire for the parents/carers while noting their answers accordingly, or by reading the questionnaire to the parents/carers in a face-to-face session. The eligible study population included the neonates admitted in NICU from the period of July to October 2021 and their parents who were randomly selected. An informed consent was taken prior to be included in the study. A total of 30 questionnaires were collected. The collected data was gathered on an excel sheet and results were formulated via the same. <h3>Results</h3> On evaluation of results we found, 90% responded excellent for trust and confidence with doctors and nurses, 93% responded excellent for coordinated discharge planning, 70% responded excellent for knowledge, information sharing and interaction with health care providers, 60% responded excellent and 17% responded good for empowered decision making.53% responded excellent 10% good for active care, 53% responded excellent and 11% responded fair for privacy for breast feeding. Some innovative thoughts and positive comments were noted from parents. <h3>Conclusion</h3> Our study concluded that most of the domains in communication were practiced appropriately in our unit predominantly for trust, knowledge information sharing and coordinated discharge plans. However, implementation of better facilities is required to improve privacy for breast feeding. Continuous medical education should be provided for all the staff members to enhance our communication skills while addressing the emotional and sensitive feelings of stressful parents of sick new-born babies. The feedback from parents will help improve the family centred care in neonatal units.",Neonatal intensive care unit; Health care; Nursing; Grading (engineering); Unit (ring theory); Quality (philosophy); Service (business); Questionnaire; Scale (ratio); Psychology; Medicine; Business; Pediatrics; Social science; Philosophy; Civil engineering; Mathematics education; Physics; Epistemology; Marketing; Quantum mechanics; Sociology; Engineering; Economics; Economic growth,,,10.1136/archdischild-2022-rcpch.705,true
096-283-624-598-297,"Analysis of severe hand trauma injury frequency during ""Munich's Oktoberfest"" within the last 9 years in comparison to years with absence due to the COVID-19 pandemic.",2023,journal article,Archives of orthopaedic and trauma surgery,Springer Science and Business Media LLC,Germany,Elisabeth M Haas-Lützenberger; Constanze Kuhlmann; Riccardo E Giunta; Karl-Georg Kanz; Dieter Steinbrunner; Wendelin Rittberg; Viktoria Bogner-Flatz; Dominik Hinzmann,"<AbstractText Label=""INTRODUCTION"" NlmCategory=""BACKGROUND"">Within its 2 week period, the Oktoberfest attracts around 6 million visitors yearly to Munich, Germany. Due to alcohol intake, congested halls, and disorderly activities, numerous accidents occur. Although many hand injuries are observed, the impact of Oktoberfest on severe hand trauma injury frequency is under investigated.</AbstractText>;           <AbstractText Label=""MATERIALS AND METHODS"" NlmCategory=""METHODS"">Data from the regional emergency medical service (EMS) was analyzed over a 9 year period regarding the frequency of severe hand injuries during the world's largest fair and compared to the corresponding period in the years 2020 and 2021 where the event was cancelled due to the world-wide COVID-19 pandemic. Additionally, we compared the patient numbers during the same period in one Emergency Department of a level-1-trauma and hand trauma center located close to the venue.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">An exploratory description is made from data collected over a 9 year period (2013-2021) with focus on hand injuries before, during and after the ""Oktoberfest"". A total of 4017 hand injuries were allocated to hospitals by EMS. There was an increase in severe hand injuries by 66% during the 2-weeks-Oktoberfest-period compared to years where the Oktoberfest did not take place. Pre-pandemic statistics show an increasing severe hand trauma frequency of 57.5% in September, compared to EMS-referrals during the remanding year.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">The risk of injuring relevant structures of the hand during Oktoberfest is extremely high as compared to other parts of the body due to beer stein and fall-associated injuries. These injuries can lead to lifelong impairments. Our data are the first that quantifies and pinpoints the risk of severe injury to the hand during Oktoberfest and therefore, it is of great interest for visitors, hand surgeons, paramedics and emergency department healthcare workers.</AbstractText>;           <CopyrightInformation>© 2023. The Author(s).</CopyrightInformation>",Medicine; Pandemic; Coronavirus disease 2019 (COVID-19); Medical emergency; Emergency medicine; Trauma center; Injury prevention; Emergency department; Occupational safety and health; Poison control; Exploratory analysis; Demography; Surgery; Retrospective cohort study; Internal medicine; Disease; Data science; Pathology; Psychiatry; Sociology; Computer science; Infectious disease (medical specialty),COVID-19; EMS; Hand surgery; Hand trauma; IVENA; Oktoberfest,,10.1007/s00402-022-04745-2,true
096-495-049-085-202,A national study of gender and racial differences in colorectal cancer screening among foreign-born older adults living in the US.,2019,journal article,Journal of behavioral medicine,Springer Science and Business Media LLC,United States,Leslie E. Cofie; Jacqueline M. Hirth; Adolfo G. Cuevas; Deeonna E. Farr,"This study examined within group heterogeneity in colorectal cancer screening (CRCS) among foreign-born individuals. Data were from the 2010, 2013 and 2015 National Health Interview Survey data on older adults (N = 5529). In 2018, multivariable logistic regression analysis was conducted to determine whether gender and race/ethnicity were associated with CRCS after controlling for sociodemographic, health access, and acculturation related factors. Overall, Asians were significantly less likely to report CRCS compared with Whites (aOR 0.63, CI 0.52–0.76). Hispanic race/ethnicity was negatively associated with CRCS among men (aOR 0.68, CI 0.50–0.91), but not women compared to white men/women, respectively. Additionally, factors associated with CRCS include having fair/poor health, usual source of care, insurance, ≥ 10 years of US residency and citizenship. Screening disparities experienced by these immigrants may be addressed by improving healthcare access, especially for noncitizens and those with limited healthcare access.",Ethnic group; Demography; Logistic regression; Health psychology; Health care; Cancer screening; Foreign born; National Health Interview Survey; Medicine; Acculturation,Cancer screening; Colorectal cancer; Gender; Immigrants; Older adults; Racial/ethnic minorities,Acculturation; Age Factors; Aged; Colorectal Neoplasms/diagnosis; Early Detection of Cancer/statistics & numerical data; Ethnicity; Female; Health Services Accessibility; Hispanic or Latino/statistics & numerical data; Humans; Male; Middle Aged; Sex Factors; United States/epidemiology; White People/statistics & numerical data,10.1007/s10865-019-00107-3,false
096-542-873-254-093,Understanding Household Catastrophic Health Expenditures and Fairness of Financing for Cancer Treatment: A Cross-sectional Case Study in West of Iran,2022,journal article,Health Scope,Briefland,,Aziz Rezapour; Soraya Norayi Motlagh; Banafsheh Darvishi Teli; Negar Yousefzadeh; Payam Haghighatfard,"<jats:p>Background: Direct out-of-pocket (OOP) and indirect healthcare payments can limit the household budget and cause several financial problems for the household. Objectives: This study aimed to measure the financial protection and determinants of catastrophic health expenditures (CHEs) for cancer treatment in Shahid Rahimi Hospital, Khorramabad, located in western Iran. Methods: This study was conducted on 220 households of cancer patients in Lorestan Province, Iran. The framework of data collection was based on the World Health Organization (WHO) Global Health Survey. Interviews were conducted with individuals who met the inclusion criteria of this study; they were selected using a simple random sampling method. Data were analyzed using Chi-square test in STATA. Results: The present results showed that the incidence of CHEs and the fair financial contribution index (FFCI) were 70% and 86%, respectively. There was a significant relationship between the household CHEs and variables, such as supplementary insurance coverage, household income status, educational level of the household head, household size, age of the household head, type of cancer, and type of cancer treatment. Conclusions: More financial protection should be provided for the families of cancer patients due to the high incidence of CHEs and unfair financing of cancer care services. Moreover, healthcare systems should consider supportive policies for cancer patients and their household members by increasing the insurance coverage and expanding service packages to reduce cancer treatment expenditures.</jats:p>",Cross-sectional study; Health care; Payment; Business; Shahid; Cross-sectional data; Household income; Finance; Medicine; Environmental health; Economic growth; Economics; Geography; Philosophy; Theology; Archaeology; Pathology; Econometrics,,,10.5812/jhealthscope-119827,true
097-106-675-045-616,Investigation of Teamwork Quality of Healthcare Professionals Providing Care for Women during Childbirth.,2021,journal article,Medical journal of the Islamic Republic of Iran,Academic World Research,"Iran, Islamic Republic of",Vitaliy B Kamkhen; Zhadyra K Akhmetova; Dinara A Ospanova; Sholpan K Sarmuldaeva,"<b><i>Background</i></b> A successful delivery depends on the coordinated work of all medical personnel. Compliance with the basic principles of teamwork is the key to the quality of medical care. The purpose of this study was to investigate the issues of teamwork of healthcare professionals during delivery. <i>Methods</i> This descriptive study was conducted in 2019 in Almaty, Republic of Kazakhstan. A total of 40 doctors and 40 midwives who provide inpatient care for women during childbirth took part in the study. Based on the questionnaire, the authors conducted a standardized survey. The tools for statistical processing of the obtained data were Microsoft Excel and Software IBM SPSS Statistics 25.0. The authors used the Student's t-test to calculate the significance of differences. <i>Results</i> The results of the study showed that 85% of the respondents believed that the size of the team did not require changes. Approximately 2/3 of the respondents evaluated the efficacy of delivery techniques used by the team as ""medium"" and ""low"". Compliance with the general approach based on mutually agreed principles was partial. The opinions of the doctors and midwives differed significantly regarding fair distribution of responsibilities in the team and the level of trust in the team. <i>Conclusion</i> As a result of the study, it was concluded that there is an urgent need to introduce modern team-building technologies into the daily practice of healthcare professionals of the obstetrician-gynecological service.",Teamwork; Childbirth; Health care; Quality (philosophy); Nursing; Test (biology); Descriptive statistics; Medicine; Medical education; Healthcare delivery; Psychology; Pregnancy; Paleontology; Philosophy; Statistics; Mathematics; Epistemology; Biology; Political science; Law; Economics; Genetics; Economic growth,Antibacterial Drugs; Health Care; Non-Specific Microorganisms; Treatment Efficacy,,10.47176/mjiri.35.197,true
